lat,lon,dist_to_canal_m
13.515152,100.742424,101.4852594349579
13.515152,100.748485,168.6081064247016
13.515152,100.754545,304.7945334382717
13.515152,100.760606,45.375225478568055
13.515152,100.766667,604.4659214853714
13.515152,100.772727,28.27386216874338
13.515152,100.778788,125.00824069554562
13.515152,100.784848,79.90669091993118
13.515152,100.790909,212.7411193100262
13.515152,100.79697,287.0547953741813
13.515152,100.80303,489.9552326003598
13.515152,100.809091,385.45616905053856
13.515152,100.815152,396.8365527265923
13.515152,100.821212,62.115203397235724
13.515152,100.827273,493.95489437776337
13.515152,100.833333,21.57575740660421
13.515152,100.839394,416.98600290203154
13.515152,100.845455,277.8876004927937
13.515152,100.851515,84.63221512273428
13.515152,100.857576,78.77692391044721
13.515152,100.863636,236.90059914071927
13.515152,100.869697,268.3462355620994
13.515152,100.875758,7.6052419456026215
13.515152,100.881818,323.4278423425928
13.515152,100.887879,136.94173264635492
13.515152,100.893939,177.31606470798673
13.515152,100.9,47.97129100341027
13.520202,100.3,902.6258168332678
13.520202,100.306061,798.0474712783055
13.520202,100.312121,799.0637129482241
13.520202,100.318182,448.70412921807394
13.520202,100.324242,93.01029488527148
13.520202,100.330303,263.99729165541675
13.520202,100.336364,273.2039933739634
13.520202,100.342424,286.61597237140563
13.520202,100.348485,149.5087204334384
13.520202,100.354545,279.0120742535442
13.520202,100.360606,288.73746861609374
13.520202,100.366667,294.8235015483162
13.520202,100.372727,300.3737532809041
13.520202,100.378788,301.76746167687435
13.520202,100.384848,208.59425274542411
13.520202,100.390909,389.55920260858005
13.520202,100.39697,321.1429862279979
13.520202,100.40303,329.3592751676987
13.520202,100.409091,45.05481137167568
13.520202,100.415152,294.0598710812091
13.520202,100.421212,130.29567369955598
13.520202,100.427273,317.73130942881767
13.520202,100.433333,304.84838911731805
13.520202,100.439394,624.1247610278707
13.520202,100.445455,525.3970874960088
13.520202,100.451515,174.18884531550972
13.520202,100.457576,245.7344875029178
13.520202,100.463636,341.07159021579923
13.520202,100.469697,31.6884244067628
13.520202,100.475758,217.1064804605504
13.520202,100.481818,359.7318284072138
13.520202,100.487879,331.4191613708911
13.520202,100.493939,636.071718261472
13.520202,100.5,26.94061987407602
13.520202,100.506061,334.8395262600557
13.520202,100.512121,151.33697540011653
13.520202,100.518182,191.84312651905643
13.520202,100.524242,131.5145240697093
13.520202,100.530303,102.62237296514054
13.520202,100.536364,138.33307130027063
13.520202,100.542424,352.09664935483914
13.520202,100.548485,563.510151993446
13.520202,100.554545,715.4637344200995
13.520202,100.560606,798.4845660868624
13.520202,100.566667,1154.891864533756
13.520202,100.572727,902.5177790597746
13.520202,100.578788,1047.8185672724132
13.520202,100.584848,1513.7719975052946
13.520202,100.590909,1961.1282989464473
13.520202,100.59697,2459.4917686140257
13.520202,100.60303,2275.7299708143537
13.520202,100.609091,2054.6046209044903
13.520202,100.615152,2043.1157500295026
13.520202,100.621212,1751.4035164199995
13.520202,100.627273,1355.6622366866957
13.520202,100.633333,959.7481778129448
13.520202,100.639394,597.1958898693667
13.520202,100.645455,430.6536451709793
13.520202,100.651515,283.29684090117547
13.520202,100.657576,148.589099512526
13.520202,100.663636,70.8935867965761
13.520202,100.669697,163.23734172198058
13.520202,100.675758,304.28100082183545
13.520202,100.681818,91.70084038767924
13.520202,100.687879,466.67207351167474
13.520202,100.693939,161.66938906617995
13.520202,100.7,215.27711532506882
13.520202,100.706061,234.09193765376222
13.520202,100.712121,26.898784423446312
