lat,lon,elevation_m
13.530303,100.657576,6.0
13.530303,100.663636,4.0
13.530303,100.669697,3.0
13.530303,100.675758,1.0
13.530303,100.681818,2.0
13.530303,100.687879,6.0
13.530303,100.693939,3.0
13.530303,100.7,4.0
13.530303,100.706061,3.0
13.530303,100.712121,2.0
13.530303,100.718182,4.0
13.530303,100.724242,5.0
13.530303,100.730303,4.0
13.530303,100.736364,1.0
13.530303,100.742424,2.0
13.530303,100.748485,5.0
13.530303,100.754545,2.0
13.530303,100.760606,4.0
13.530303,100.766667,3.0
13.530303,100.772727,6.0
13.530303,100.778788,1.0
13.530303,100.784848,3.0
13.530303,100.790909,2.0
13.530303,100.79697,4.0
13.530303,100.80303,3.0
13.530303,100.809091,6.0
13.530303,100.815152,2.0
13.530303,100.821212,1.0
13.530303,100.827273,3.0
13.530303,100.833333,4.0
13.530303,100.839394,1.0
13.530303,100.845455,2.0
13.530303,100.851515,4.0
13.530303,100.857576,4.0
13.530303,100.863636,2.0
13.530303,100.869697,3.0
13.530303,100.875758,2.0
13.530303,100.881818,-4.0
13.530303,100.887879,3.0
13.530303,100.893939,1.0
13.530303,100.9,5.0
13.535354,100.3,2.0
13.535354,100.306061,-1.0
13.535354,100.312121,2.0
13.535354,100.318182,4.0
13.535354,100.324242,5.0
13.535354,100.330303,3.0
13.535354,100.336364,5.0
13.535354,100.342424,5.0
13.535354,100.348485,3.0
13.535354,100.354545,6.0
13.535354,100.360606,5.0
13.535354,100.366667,5.0
13.535354,100.372727,1.0
13.535354,100.378788,6.0
13.535354,100.384848,5.0
13.535354,100.390909,5.0
13.535354,100.39697,5.0
13.535354,100.40303,1.0
13.535354,100.409091,5.0
13.535354,100.415152,5.0
13.535354,100.421212,5.0
13.535354,100.427273,5.0
13.535354,100.433333,5.0
13.535354,100.439394,5.0
13.535354,100.445455,4.0
13.535354,100.451515,1.0
13.535354,100.457576,4.0
13.535354,100.463636,5.0
13.535354,100.469697,5.0
13.535354,100.475758,5.0
13.535354,100.481818,4.0
13.535354,100.487879,5.0
13.535354,100.493939,2.0
13.535354,100.5,1.0
13.535354,100.506061,3.0
13.535354,100.512121,3.0
13.535354,100.518182,1.0
13.535354,100.524242,1.0
13.535354,100.530303,8.0
13.535354,100.536364,2.0
13.535354,100.542424,1.0
13.535354,100.548485,1.0
13.535354,100.554545,4.0
13.535354,100.560606,5.0
13.535354,100.566667,1.0
13.535354,100.572727,3.0
13.535354,100.578788,4.0
13.535354,100.584848,4.0
13.535354,100.590909,5.0
13.535354,100.59697,5.0
13.535354,100.60303,5.0
13.535354,100.609091,5.0
13.535354,100.615152,4.0
13.535354,100.621212,3.0
13.535354,100.627273,4.0
13.535354,100.633333,4.0
13.535354,100.639394,7.0
13.535354,100.645455,5.0
13.535354,100.651515,4.0
13.535354,100.657576,4.0
13.535354,100.663636,1.0
13.535354,100.669697,3.0
13.535354,100.675758,2.0
13.535354,100.681818,1.0
13.535354,100.687879,4.0
13.535354,100.693939,2.0
13.535354,100.7,2.0
13.535354,100.706061,1.0
13.535354,100.712121,2.0
13.535354,100.718182,2.0
13.535354,100.724242,3.0
13.535354,100.730303,6.0
13.535354,100.736364,1.0
13.535354,100.742424,4.0
13.535354,100.748485,1.0
13.535354,100.754545,3.0
13.535354,100.760606,2.0
13.535354,100.766667,2.0
13.535354,100.772727,2.0
13.535354,100.778788,4.0
13.535354,100.784848,3.0
13.535354,100.790909,2.0
13.535354,100.79697,5.0
13.535354,100.80303,3.0
13.535354,100.809091,3.0
13.535354,100.815152,2.0
13.535354,100.821212,3.0
13.535354,100.827273,3.0
13.535354,100.833333,5.0
13.535354,100.839394,-1.0
13.535354,100.845455,4.0
13.535354,100.851515,1.0
13.535354,100.857576,2.0
13.535354,100.863636,4.0
